touch_id,campaign_id,user_id,channel_id,touch_status,touch_time
T00001,C005,U0003,app_push,exposed,2026-05-01 09:01:00
T00002,C005,U0077,app_push,exposed,2026-05-01 09:02:00
T00003,C001,U0035,app_push,exposed,2026-05-01 09:03:00
T00004,C003,U0030,app_push,exposed,2026-05-01 09:04:00
T00005,C001,U0191,app_push,exposed,2026-05-01 09:05:00
T00006,C005,U0040,app_push,exposed,2026-05-01 09:06:00
T00007,C003,U0073,app_push,exposed,2026-05-01 09:07:00
T00008,C005,U0054,app_push,exposed,2026-05-01 09:08:00
T00009,C003,U0053,app_push,exposed,2026-05-01 09:09:00
T00010,C003,U0130,app_push,exposed,2026-05-01 09:10:00
T00011,C004,U0065,app_push,exposed,2026-05-01 09:11:00
T00012,C001,U0024,app_push,exposed,2026-05-01 09:12:00
T00013,C004,U0071,app_push,exposed,2026-05-01 09:13:00
T00014,C001,U0001,app_push,exposed,2026-05-01 09:14:00
T00015,C003,U0198,app_push,exposed,2026-05-01 09:15:00
T00016,C002,U0164,wechat,exposed,2026-05-01 09:16:00
T00017,C003,U0042,app_push,exposed,2026-05-01 09:17:00
T00018,C004,U0142,app_push,exposed,2026-05-01 09:18:00
T00019,C004,U0144,app_push,exposed,2026-05-01 09:19:00
T00020,C001,U0029,app_push,exposed,2026-05-01 09:20:00
T00021,C001,U0177,app_push,exposed,2026-05-01 09:21:00
T00022,C002,U0140,wechat,exposed,2026-05-01 09:22:00
T00023,C001,U0095,app_push,exposed,2026-05-01 09:23:00
T00024,C005,U0142,app_push,exposed,2026-05-01 09:24:00
T00025,C002,U0111,wechat,exposed,2026-05-01 09:25:00
T00026,C002,U0011,wechat,exposed,2026-05-01 09:26:00
T00027,C003,U0094,app_push,exposed,2026-05-01 09:27:00
T00028,C001,U0092,app_push,exposed,2026-05-01 09:28:00
T00029,C002,U0175,wechat,exposed,2026-05-01 09:29:00
T00030,C002,U0171,wechat,exposed,2026-05-01 09:30:00
T00031,C001,U0091,app_push,exposed,2026-05-01 09:31:00
T00032,C005,U0105,app_push,exposed,2026-05-01 09:32:00
T00033,C005,U0192,app_push,exposed,2026-05-01 09:33:00
T00034,C002,U0061,wechat,exposed,2026-05-01 09:34:00
T00035,C002,U0046,wechat,exposed,2026-05-01 09:35:00
T00036,C004,U0007,app_push,exposed,2026-05-01 09:36:00
T00037,C002,U0189,wechat,exposed,2026-05-01 09:37:00
T00038,C003,U0106,app_push,exposed,2026-05-01 09:38:00
T00039,C002,U0069,wechat,exposed,2026-05-01 09:39:00
T00040,C002,U0180,wechat,exposed,2026-05-01 09:40:00
T00041,C001,U0098,app_push,exposed,2026-05-01 09:41:00
T00042,C001,U0121,app_push,exposed,2026-05-01 09:42:00
T00043,C002,U0052,wechat,exposed,2026-05-01 09:43:00
T00044,C004,U0090,app_push,exposed,2026-05-01 09:44:00
T00045,C003,U0059,app_push,exposed,2026-05-01 09:45:00
T00046,C002,U0007,wechat,exposed,2026-05-01 09:46:00
T00047,C002,U0103,wechat,exposed,2026-05-01 09:47:00
T00048,C003,U0072,app_push,exposed,2026-05-01 09:48:00
T00049,C001,U0198,app_push,exposed,2026-05-01 09:49:00
T00050,C003,U0090,app_push,exposed,2026-05-01 09:50:00
T00051,C005,U0103,app_push,exposed,2026-05-01 09:51:00
T00052,C005,U0085,app_push,exposed,2026-05-01 09:52:00
T00053,C001,U0030,app_push,exposed,2026-05-01 09:53:00
T00054,C003,U0046,app_push,exposed,2026-05-01 09:54:00
T00055,C005,U0068,app_push,exposed,2026-05-01 09:55:00
T00056,C001,U0028,app_push,exposed,2026-05-01 09:56:00
T00057,C005,U0112,app_push,exposed,2026-05-01 09:57:00
T00058,C003,U0187,app_push,exposed,2026-05-01 09:58:00
T00059,C003,U0112,app_push,exposed,2026-05-01 09:59:00
T00060,C005,U0131,app_push,exposed,2026-05-01 10:00:00
T00061,C001,U0099,app_push,exposed,2026-05-01 10:01:00
T00062,C005,U0049,app_push,exposed,2026-05-01 10:02:00
T00063,C003,U0012,app_push,exposed,2026-05-01 10:03:00
T00064,C004,U0001,app_push,exposed,2026-05-01 10:04:00
T00065,C005,U0138,app_push,exposed,2026-05-01 10:05:00
T00066,C002,U0094,wechat,exposed,2026-05-01 10:06:00
T00067,C004,U0018,app_push,exposed,2026-05-01 10:07:00
T00068,C003,U0160,app_push,exposed,2026-05-01 10:08:00
T00069,C003,U0170,app_push,exposed,2026-05-01 10:09:00
T00070,C001,U0185,app_push,exposed,2026-05-01 10:10:00
T00071,C003,U0130,app_push,exposed,2026-05-01 10:11:00
T00072,C003,U0171,app_push,exposed,2026-05-01 10:12:00
T00073,C004,U0084,app_push,exposed,2026-05-01 10:13:00
T00074,C004,U0179,app_push,exposed,2026-05-01 10:14:00
T00075,C003,U0142,app_push,exposed,2026-05-01 10:15:00
T00076,C002,U0050,wechat,exposed,2026-05-01 10:16:00
T00077,C004,U0171,app_push,exposed,2026-05-01 10:17:00
T00078,C004,U0174,app_push,exposed,2026-05-01 10:18:00
T00079,C002,U0158,wechat,exposed,2026-05-01 10:19:00
T00080,C005,U0078,app_push,exposed,2026-05-01 10:20:00
T00081,C004,U0141,app_push,exposed,2026-05-01 10:21:00
T00082,C001,U0078,app_push,exposed,2026-05-01 10:22:00
T00083,C003,U0054,app_push,exposed,2026-05-01 10:23:00
T00084,C004,U0149,app_push,exposed,2026-05-01 10:24:00
T00085,C005,U0168,app_push,exposed,2026-05-01 10:25:00
T00086,C003,U0120,app_push,exposed,2026-05-01 10:26:00
T00087,C004,U0114,app_push,exposed,2026-05-01 10:27:00
T00088,C002,U0131,wechat,exposed,2026-05-01 10:28:00
T00089,C004,U0189,app_push,exposed,2026-05-01 10:29:00
T00090,C002,U0169,wechat,exposed,2026-05-01 10:30:00
T00091,C001,U0073,app_push,exposed,2026-05-01 10:31:00
T00092,C005,U0170,app_push,exposed,2026-05-01 10:32:00
