click_id,touch_id,campaign_id,user_id,click_time
CLK00003,T00003,C001,U0035,2026-05-01 09:06:00
CLK00006,T00006,C005,U0040,2026-05-01 09:09:00
CLK00009,T00009,C003,U0053,2026-05-01 09:12:00
CLK00012,T00012,C001,U0024,2026-05-01 09:15:00
CLK00015,T00015,C003,U0198,2026-05-01 09:18:00
CLK00018,T00018,C004,U0142,2026-05-01 09:21:00
CLK00021,T00021,C001,U0177,2026-05-01 09:24:00
CLK00024,T00024,C005,U0142,2026-05-01 09:27:00
CLK00027,T00027,C003,U0094,2026-05-01 09:30:00
CLK00030,T00030,C002,U0171,2026-05-01 09:33:00
CLK00033,T00033,C005,U0192,2026-05-01 09:36:00
CLK00036,T00036,C004,U0007,2026-05-01 09:39:00
CLK00039,T00039,C002,U0069,2026-05-01 09:42:00
CLK00042,T00042,C001,U0121,2026-05-01 09:45:00
CLK00045,T00045,C003,U0059,2026-05-01 09:48:00
CLK00048,T00048,C003,U0072,2026-05-01 09:51:00
CLK00051,T00051,C005,U0103,2026-05-01 09:54:00
CLK00054,T00054,C003,U0046,2026-05-01 09:57:00
CLK00057,T00057,C005,U0112,2026-05-01 10:00:00
CLK00060,T00060,C005,U0131,2026-05-01 10:03:00
CLK00063,T00063,C003,U0012,2026-05-01 10:06:00
CLK00066,T00066,C002,U0094,2026-05-01 10:09:00
CLK00069,T00069,C003,U0170,2026-05-01 10:12:00
CLK00072,T00072,C003,U0171,2026-05-01 10:15:00
CLK00075,T00075,C003,U0142,2026-05-01 10:18:00
CLK00078,T00078,C004,U0174,2026-05-01 10:21:00
CLK00081,T00081,C004,U0141,2026-05-01 10:24:00
CLK00084,T00084,C004,U0149,2026-05-01 10:27:00
CLK00087,T00087,C004,U0114,2026-05-01 10:30:00
CLK00090,T00090,C002,U0169,2026-05-01 10:33:00
CLK00093,T00093,C005,U0086,2026-05-01 10:36:00
CLK00096,T00096,C003,U0058,2026-05-01 10:39:00
CLK00099,T00099,C002,U0122,2026-05-01 10:42:00
CLK00102,T00102,C004,U0162,2026-05-01 10:45:00
CLK00105,T00105,C004,U0063,2026-05-01 10:48:00
CLK00108,T00108,C001,U0200,2026-05-01 10:51:00
CLK00111,T00111,C005,U0119,2026-05-01 10:54:00
CLK00114,T00114,C004,U0035,2026-05-01 10:57:00
CLK00117,T00117,C005,U0082,2026-05-01 11:00:00
CLK00120,T00120,C005,U0115,2026-05-01 11:03:00
CLK00123,T00123,C003,U0193,2026-05-01 11:06:00
CLK00126,T00126,C005,U0125,2026-05-01 11:09:00
CLK00129,T00129,C003,U0061,2026-05-01 11:12:00
CLK00132,T00132,C001,U0036,2026-05-01 11:15:00
CLK00135,T00135,C002,U0181,2026-05-01 11:18:00
CLK00138,T00138,C003,U0139,2026-05-01 11:21:00
CLK00141,T00141,C004,U0100,2026-05-01 11:24:00
CLK00144,T00144,C005,U0098,2026-05-01 11:27:00
CLK00147,T00147,C004,U0108,2026-05-01 11:30:00
CLK00150,T00150,C002,U0125,2026-05-01 11:33:00
CLK00153,T00153,C001,U0100,2026-05-01 11:36:00
CLK00156,T00156,C002,U0120,2026-05-01 11:39:00
CLK00159,T00159,C004,U0152,2026-05-01 11:42:00
CLK00162,T00162,C004,U0035,2026-05-01 11:45:00
CLK00165,T00165,C004,U0084,2026-05-01 11:48:00
CLK00168,T00168,C004,U0072,2026-05-01 11:51:00
CLK00171,T00171,C001,U0192,2026-05-01 11:54:00
CLK00174,T00174,C001,U0200,2026-05-01 11:57:00
CLK00177,T00177,C002,U0006,2026-05-01 12:00:00
CLK00180,T00180,C004,U0172,2026-05-01 12:03:00
CLK00183,T00183,C003,U0197,2026-05-01 12:06:00
CLK00186,T00186,C001,U0200,2026-05-01 12:09:00
CLK00189,T00189,C001,U0080,2026-05-01 12:12:00
CLK00192,T00192,C002,U0020,2026-05-01 12:15:00
CLK00195,T00195,C003,U0176,2026-05-01 12:18:00
CLK00198,T00198,C003,U0137,2026-05-01 12:21:00
CLK00201,T00201,C005,U0166,2026-05-01 12:24:00
CLK00204,T00204,C001,U0111,2026-05-01 12:27:00
CLK00207,T00207,C002,U0112,2026-05-01 12:30:00
CLK00210,T00210,C003,U0158,2026-05-01 12:33:00
CLK00213,T00213,C004,U0188,2026-05-01 12:36:00
CLK00216,T00216,C001,U0072,2026-05-01 12:39:00
CLK00219,T00219,C005,U0172,2026-05-01 12:42:00
CLK00222,T00222,C003,U0047,2026-05-01 12:45:00
CLK00225,T00225,C003,U0072,2026-05-01 12:48:00
CLK00228,T00228,C001,U0133,2026-05-01 12:51:00
CLK00231,T00231,C004,U0126,2026-05-01 12:54:00
CLK00234,T00234,C004,U0166,2026-05-01 12:57:00
CLK00237,T00237,C003,U0057,2026-05-01 13:00:00
CLK00240,T00240,C005,U0095,2026-05-01 13:03:00
CLK00243,T00243,C004,U0191,2026-05-01 13:06:00
CLK00246,T00246,C004,U0070,2026-05-01 13:09:00
CLK00249,T00249,C002,U0081,2026-05-01 13:12:00
CLK00252,T00252,C002,U0050,2026-05-01 13:15:00
CLK00255,T00255,C005,U0195,2026-05-01 13:18:00
CLK00258,T00258,C002,U0076,2026-05-01 13:21:00
CLK00261,T00261,C001,U0182,2026-05-01 13:24:00
CLK00264,T00264,C001,U0142,2026-05-01 13:27:00
CLK00267,T00267,C004,U0027,2026-05-01 13:30:00
CLK00270,T00270,C004,U0113,2026-05-01 13:33:00
CLK00273,T00273,C004,U0030,2026-05-01 13:36:00
CLK00276,T00276,C005,U0162,2026-05-01 13:39:00
CLK00279,T00279,C003,U0022,2026-05-01 13:42:00
CLK00282,T00282,C004,U0156,2026-05-01 13:45:00
CLK00285,T00285,C005,U0098,2026-05-01 13:48:00
