claim_id,campaign_id,user_id,claim_time
CLM00008,C005,U0054,2026-05-01 09:13:00
CLM00016,C002,U0164,2026-05-01 09:21:00
CLM00024,C005,U0142,2026-05-01 09:29:00
CLM00032,C005,U0105,2026-05-01 09:37:00
CLM00040,C002,U0180,2026-05-01 09:45:00
CLM00048,C003,U0072,2026-05-01 09:53:00
CLM00056,C001,U0028,2026-05-01 10:01:00
CLM00064,C004,U0001,2026-05-01 10:09:00
CLM00072,C003,U0171,2026-05-01 10:17:00
CLM00080,C005,U0078,2026-05-01 10:25:00
CLM00088,C002,U0131,2026-05-01 10:33:00
CLM00096,C003,U0058,2026-05-01 10:41:00
CLM00104,C004,U0127,2026-05-01 10:49:00
CLM00112,C001,U0143,2026-05-01 10:57:00
CLM00120,C005,U0115,2026-05-01 11:05:00
CLM00128,C004,U0020,2026-05-01 11:13:00
CLM00136,C002,U0017,2026-05-01 11:21:00
CLM00144,C005,U0098,2026-05-01 11:29:00
CLM00152,C004,U0125,2026-05-01 11:37:00
CLM00160,C005,U0170,2026-05-01 11:45:00
CLM00168,C004,U0072,2026-05-01 11:53:00
CLM00176,C001,U0064,2026-05-01 12:01:00
CLM00184,C003,U0043,2026-05-01 12:09:00
CLM00192,C002,U0020,2026-05-01 12:17:00
CLM00200,C003,U0018,2026-05-01 12:25:00
CLM00208,C002,U0188,2026-05-01 12:33:00
CLM00216,C001,U0072,2026-05-01 12:41:00
CLM00224,C003,U0067,2026-05-01 12:49:00
CLM00232,C005,U0195,2026-05-01 12:57:00
CLM00240,C005,U0095,2026-05-01 13:05:00
CLM00248,C002,U0031,2026-05-01 13:13:00
CLM00256,C005,U0153,2026-05-01 13:21:00
CLM00264,C001,U0142,2026-05-01 13:29:00
CLM00272,C001,U0065,2026-05-01 13:37:00
CLM00280,C002,U0031,2026-05-01 13:45:00
CLM00288,C004,U0079,2026-05-01 13:53:00
CLM00296,C005,U0020,2026-05-01 14:01:00
CLM00304,C002,U0068,2026-05-01 14:09:00
CLM00312,C003,U0153,2026-05-01 14:17:00
CLM00320,C001,U0154,2026-05-01 14:25:00
CLM00328,C001,U0196,2026-05-01 14:33:00
CLM00336,C004,U0086,2026-05-01 14:41:00
CLM00344,C003,U0065,2026-05-01 14:49:00
CLM00352,C004,U0161,2026-05-01 14:57:00
CLM00360,C005,U0062,2026-05-01 15:05:00
CLM00368,C003,U0131,2026-05-01 15:13:00
CLM00376,C003,U0198,2026-05-01 15:21:00
CLM00384,C004,U0089,2026-05-01 15:29:00
CLM00392,C003,U0191,2026-05-01 15:37:00
CLM00400,C005,U0117,2026-05-01 15:45:00
CLM00408,C005,U0098,2026-05-01 15:53:00
CLM00416,C001,U0114,2026-05-01 16:01:00
CLM00424,C004,U0145,2026-05-01 16:09:00
CLM00432,C003,U0118,2026-05-01 16:17:00
CLM00440,C004,U0177,2026-05-01 16:25:00
CLM00448,C003,U0006,2026-05-01 16:33:00
CLM00456,C003,U0174,2026-05-01 16:41:00
CLM00464,C004,U0045,2026-05-01 16:49:00
CLM00472,C004,U0020,2026-05-01 16:57:00
CLM00480,C003,U0173,2026-05-01 17:05:00
CLM00488,C001,U0163,2026-05-01 17:13:00
CLM00496,C005,U0035,2026-05-01 17:21:00
CLM00504,C003,U0009,2026-05-01 17:29:00
CLM00512,C002,U0032,2026-05-01 17:37:00
CLM00520,C005,U0054,2026-05-01 17:45:00
CLM00528,C001,U0034,2026-05-01 17:53:00
CLM00536,C001,U0122,2026-05-01 18:01:00
CLM00544,C004,U0165,2026-05-01 18:09:00
CLM00552,C001,U0033,2026-05-01 18:17:00
CLM00560,C001,U0168,2026-05-01 18:25:00
CLM00568,C004,U0081,2026-05-01 18:33:00
CLM00576,C005,U0016,2026-05-01 18:41:00
CLM00584,C003,U0027,2026-05-01 18:49:00
CLM00592,C002,U0110,2026-05-01 18:57:00
CLM00600,C003,U0002,2026-05-01 19:05:00
CLM00608,C004,U0088,2026-05-01 19:13:00
CLM00616,C001,U0070,2026-05-01 19:21:00
CLM00624,C001,U0073,2026-05-01 19:29:00
CLM00632,C002,U0196,2026-05-01 19:37:00
CLM00640,C005,U0172,2026-05-01 19:45:00
CLM00648,C004,U0075,2026-05-01 19:53:00
CLM00656,C005,U0103,2026-05-01 20:01:00
CLM00664,C005,U0050,2026-05-01 20:09:00
CLM00672,C004,U0119,2026-05-01 20:17:00
CLM00680,C003,U0071,2026-05-01 20:25:00
CLM00688,C001,U0158,2026-05-01 20:33:00
CLM00696,C005,U0039,2026-05-01 20:41:00
CLM00704,C005,U0041,2026-05-01 20:49:00
CLM00712,C005,U0174,2026-05-01 20:57:00
CLM00720,C004,U0034,2026-05-01 21:05:00
CLM00728,C003,U0080,2026-05-01 21:13:00
CLM00736,C005,U0190,2026-05-01 21:21:00
CLM00744,C004,U0012,2026-05-01 21:29:00
CLM00752,C005,U0113,2026-05-01 21:37:00
CLM00760,C004,U0096,2026-05-01 21:45:00
CLM00768,C004,U0090,2026-05-01 21:53:00
CLM00776,C003,U0038,2026-05-01 22:01:00
CLM00784,C002,U0141,2026-05-01 22:09:00
CLM00792,C001,U0029,2026-05-01 22:17:00
CLM00800,C002,U0147,2026-05-01 22:25:00
CLM00808,C001,U0163,2026-05-01 22:33:00
CLM00816,C003,U0035,2026-05-01 22:41:00
CLM00824,C004,U0010,2026-05-01 22:49:00
CLM00832,C002,U0074,2026-05-01 22:57:00
CLM00840,C004,U0178,2026-05-01 23:05:00
CLM00848,C001,U0021,2026-05-01 23:13:00
CLM00856,C004,U0071,2026-05-01 23:21:00
CLM00864,C002,U0200,2026-05-01 23:29:00
CLM00872,C002,U0136,2026-05-01 23:37:00
CLM00880,C003,U0199,2026-05-01 23:45:00
CLM00888,C004,U0023,2026-05-01 23:53:00
CLM00896,C001,U0052,2026-05-02 00:01:00
CLM00904,C003,U0102,2026-05-02 00:09:00
CLM00912,C005,U0089,2026-05-02 00:17:00
CLM00920,C002,U0042,2026-05-02 00:25:00
CLM00928,C003,U0158,2026-05-02 00:33:00
CLM00936,C005,U0011,2026-05-02 00:41:00
CLM00944,C005,U0075,2026-05-02 00:49:00
CLM00952,C002,U0088,2026-05-02 00:57:00
CLM00960,C003,U0062,2026-05-02 01:05:00
CLM00968,C003,U0148,2026-05-02 01:13:00
CLM00976,C002,U0056,2026-05-02 01:21:00
CLM00984,C002,U0068,2026-05-02 01:29:00
CLM00992,C004,U0130,2026-05-02 01:37:00
CLM01000,C003,U0194,2026-05-02 01:45:00
CLM01008,C002,U0156,2026-05-02 01:53:00
CLM01016,C004,U0182,2026-05-02 02:01:00
CLM01024,C005,U0148,2026-05-02 02:09:00
CLM01032,C005,U0180,2026-05-02 02:17:00
CLM01040,C001,U0181,2026-05-02 02:25:00
CLM01048,C005,U0091,2026-05-02 02:33:00
CLM01056,C004,U0082,2026-05-02 02:41:00
CLM01064,C001,U0074,2026-05-02 02:49:00
