order_id,campaign_id,user_id,order_amount,order_status,order_time
O00011,C004,U0065,100,submitted,2026-05-01 09:21:00
O00022,C002,U0140,120,submitted,2026-05-01 09:32:00
O00033,C005,U0192,140,submitted,2026-05-01 09:43:00
O00044,C004,U0090,160,submitted,2026-05-01 09:54:00
O00055,C005,U0068,80,submitted,2026-05-01 10:05:00
O00066,C002,U0094,100,submitted,2026-05-01 10:16:00
O00077,C004,U0171,120,submitted,2026-05-01 10:27:00
O00088,C002,U0131,140,submitted,2026-05-01 10:38:00
O00099,C002,U0122,160,submitted,2026-05-01 10:49:00
O00110,C002,U0179,80,submitted,2026-05-01 11:00:00
O00121,C002,U0191,100,submitted,2026-05-01 11:11:00
O00132,C001,U0036,120,submitted,2026-05-01 11:22:00
O00143,C001,U0196,140,submitted,2026-05-01 11:33:00
O00154,C003,U0172,160,submitted,2026-05-01 11:44:00
O00165,C004,U0084,80,submitted,2026-05-01 11:55:00
O00176,C001,U0064,100,submitted,2026-05-01 12:06:00
O00187,C002,U0080,120,submitted,2026-05-01 12:17:00
O00198,C003,U0137,140,submitted,2026-05-01 12:28:00
O00209,C005,U0167,160,submitted,2026-05-01 12:39:00
O00220,C004,U0087,80,submitted,2026-05-01 12:50:00
O00231,C004,U0126,100,submitted,2026-05-01 13:01:00
O00242,C005,U0089,120,submitted,2026-05-01 13:12:00
O00253,C002,U0190,140,submitted,2026-05-01 13:23:00
O00264,C001,U0142,160,submitted,2026-05-01 13:34:00
O00275,C004,U0019,80,submitted,2026-05-01 13:45:00
O00286,C004,U0114,100,submitted,2026-05-01 13:56:00
O00297,C002,U0001,120,submitted,2026-05-01 14:07:00
O00308,C002,U0166,140,submitted,2026-05-01 14:18:00
O00319,C004,U0113,160,submitted,2026-05-01 14:29:00
O00330,C005,U0167,80,submitted,2026-05-01 14:40:00
O00341,C004,U0195,100,submitted,2026-05-01 14:51:00
O00352,C004,U0161,120,submitted,2026-05-01 15:02:00
O00363,C005,U0105,140,submitted,2026-05-01 15:13:00
O00374,C005,U0131,160,submitted,2026-05-01 15:24:00
O00385,C003,U0142,80,submitted,2026-05-01 15:35:00
O00396,C001,U0033,100,submitted,2026-05-01 15:46:00
O00407,C001,U0085,120,submitted,2026-05-01 15:57:00
O00418,C003,U0008,140,submitted,2026-05-01 16:08:00
O00429,C002,U0128,160,submitted,2026-05-01 16:19:00
O00440,C004,U0177,80,submitted,2026-05-01 16:30:00
O00451,C001,U0156,100,submitted,2026-05-01 16:41:00
O00462,C002,U0024,120,submitted,2026-05-01 16:52:00
O00473,C002,U0194,140,submitted,2026-05-01 17:03:00
