payment_id,order_id,campaign_id,user_id,payment_amount,payment_status,payment_time
P00011,O00011,C004,U0065,100,paid,2026-05-01 09:26:00
P00022,O00022,C002,U0140,120,paid,2026-05-01 09:37:00
P00033,O00033,C005,U0192,140,paid,2026-05-01 09:48:00
P00044,O00044,C004,U0090,160,paid,2026-05-01 09:59:00
P00055,O00055,C005,U0068,80,paid,2026-05-01 10:10:00
P00066,O00066,C002,U0094,100,paid,2026-05-01 10:21:00
P00077,O00077,C004,U0171,120,paid,2026-05-01 10:32:00
P00088,O00088,C002,U0131,140,paid,2026-05-01 10:43:00
P00099,O00099,C002,U0122,160,paid,2026-05-01 10:54:00
P00110,O00110,C002,U0179,80,paid,2026-05-01 11:05:00
P00121,O00121,C002,U0191,100,paid,2026-05-01 11:16:00
P00132,O00132,C001,U0036,120,paid,2026-05-01 11:27:00
P00143,O00143,C001,U0196,140,paid,2026-05-01 11:38:00
P00154,O00154,C003,U0172,160,paid,2026-05-01 11:49:00
P00165,O00165,C004,U0084,80,paid,2026-05-01 12:00:00
P00176,O00176,C001,U0064,100,paid,2026-05-01 12:11:00
P00187,O00187,C002,U0080,120,paid,2026-05-01 12:22:00
P00198,O00198,C003,U0137,140,paid,2026-05-01 12:33:00
P00209,O00209,C005,U0167,160,paid,2026-05-01 12:44:00
P00220,O00220,C004,U0087,80,paid,2026-05-01 12:55:00
P00231,O00231,C004,U0126,100,paid,2026-05-01 13:06:00
P00242,O00242,C005,U0089,120,paid,2026-05-01 13:17:00
P00253,O00253,C002,U0190,140,paid,2026-05-01 13:28:00
P00264,O00264,C001,U0142,160,paid,2026-05-01 13:39:00
P00275,O00275,C004,U0019,80,paid,2026-05-01 13:50:00
P00286,O00286,C004,U0114,100,paid,2026-05-01 14:01:00
P00297,O00297,C002,U0001,120,paid,2026-05-01 14:12:00
P00308,O00308,C002,U0166,140,paid,2026-05-01 14:23:00
P00319,O00319,C004,U0113,160,paid,2026-05-01 14:34:00
P00330,O00330,C005,U0167,80,paid,2026-05-01 14:45:00
P00341,O00341,C004,U0195,100,paid,2026-05-01 14:56:00
P00352,O00352,C004,U0161,120,paid,2026-05-01 15:07:00
P00363,O00363,C005,U0105,140,paid,2026-05-01 15:18:00
P00374,O00374,C005,U0131,160,paid,2026-05-01 15:29:00
P00385,O00385,C003,U0142,80,paid,2026-05-01 15:40:00
P00396,O00396,C001,U0033,100,paid,2026-05-01 15:51:00
P00407,O00407,C001,U0085,120,paid,2026-05-01 16:02:00
P00418,O00418,C003,U0008,140,paid,2026-05-01 16:13:00
P00429,O00429,C002,U0128,160,paid,2026-05-01 16:24:00
P00440,O00440,C004,U0177,80,paid,2026-05-01 16:35:00
P00451,O00451,C001,U0156,100,paid,2026-05-01 16:46:00
P00462,O00462,C002,U0024,120,paid,2026-05-01 16:57:00
P00473,O00473,C002,U0194,140,paid,2026-05-01 17:08:00
P00484,O00484,C002,U0121,160,paid,2026-05-01 17:19:00
P00495,O00495,C001,U0061,80,paid,2026-05-01 17:30:00
P00506,O00506,C004,U0114,100,paid,2026-05-01 17:41:00
P00517,O00517,C002,U0033,120,paid,2026-05-01 17:52:00
P00528,O00528,C001,U0034,140,paid,2026-05-01 18:03:00
P00539,O00539,C005,U0028,160,paid,2026-05-01 18:14:00
